"","time","y"
"217","Jan 2017",0.7658
"218","Feb 2017",0.8358
"219","Mar 2017",0.7703
"220","Apr 2017",0.7588
"221","May 2017",0.6803
"222","Jun 2017",0.5662
"223","Jul 2017",0.4989
"224","Aug 2017",0.3654
"225","Sep 2017",0.3641
"226","Oct 2017",0.4316
"227","Nov 2017",0.7895
"228","Dec 2017",0.831
"229","Jan 2018",0.7871
"230","Feb 2018",0.8366
"231","Mar 2018",0.8251
"232","Apr 2018",0.8367
"233","May 2018",0.7025
"234","Jun 2018",0.5888
"235","Jul 2018",0.4765
"236","Aug 2018",0.4479
"237","Sep 2018",0.4304
"238","Oct 2018",0.687
"239","Nov 2018",0.8291
"240","Dec 2018",0.811
"241","Jan 2019",0.7415
"242","Feb 2019",0.7827
"243","Mar 2019",0.8458
"244","Apr 2019",0.83
"245","May 2019",0.7681
"246","Jun 2019",0.6531
"247","Jul 2019",0.5029
"248","Aug 2019",0.4321
"249","Sep 2019",0.3485
"250","Oct 2019",0.4916
"251","Nov 2019",0.6896
"252","Dec 2019",0.7772
"253","Jan 2020",0.8175
"254","Feb 2020",0.844
"255","Mar 2020",0.8554
"256","Apr 2020",0.8513
"257","May 2020",0.7847
"258","Jun 2020",0.7058
"259","Jul 2020",0.5763
"260","Aug 2020",0.4791
"261","Sep 2020",0.3989
"262","Oct 2020",0.6047
"263","Nov 2020",0.7441
"264","Dec 2020",0.7181
"265","Jan 2021",0.7085
"266","Feb 2021",0.8258
"267","Mar 2021",0.7733
"268","Apr 2021",0.7347
"269","May 2021",0.6303
"270","Jun 2021",0.57
"271","Jul 2021",0.4448
"272","Aug 2021",0.4385
"273","Sep 2021",0.3308
"274","Oct 2021",0.6237
"275","Nov 2021",0.8028
"276","Dec 2021",0.8458
"277","Jan 2022",0.843
"278","Feb 2022",0.8518
"279","Mar 2022",0.7855
"280","Apr 2022",0.6863
"281","May 2022",0.5853
"282","Jun 2022",0.4966
"283","Jul 2022",0.4831
"284","Aug 2022",0.3951
"285","Sep 2022",0.4592
"286","Oct 2022",0.5146
"287","Nov 2022",0.734
"288","Dec 2022",0.8523
"289","Jan 2023",0.8403
"290","Feb 2023",0.7535
"291","Mar 2023",0.7575
"292","Apr 2023",0.7606
"293","May 2023",0.6005
"294","Jun 2023",0.5212
"295","Jul 2023",0.4605
"296","Aug 2023",0.4227
"297","Sep 2023",0.4453
"298","Oct 2023",0.5788
"299","Nov 2023",0.5542
"300","Dec 2023",0.6169
"301","Jan 2024",0.8102
"302","Feb 2024",0.7997
"303","Mar 2024",0.7604
"304","Apr 2024",0.7041
"305","May 2024",0.464
"306","Jun 2024",0.4811
